angDist,_RAJ2000,_DEJ2000,RAJ2000,DEJ2000,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.116374,53.698025,26.370512,53.698025,26.370512,53.6980355481835,26.3704811641605,0.003,0.002,90,69704643451409792,53.69813291842,0.1005,26.37028680356,0.0732,7.3242,0.1107,20.262,0.198,-45.142,0.147,0,4.01871e+03,6.65577e+00,16.678150,6.13461e+02,1.00101e+01,18.381920,5.45855e+03,1.59570e+01,15.419228,2.962692,,,0,3355.15,0.5110,0.2910,,
0.079384,53.7289,22.079634,53.7289,22.079634,53.7289243356213,22.0796375866198,0.002,0.002,90,64555694921236352,53.72901627649,0.0598,22.07945287411,0.0427,7.1115,0.0652,19.788,0.129,-42.901,0.101,0,1.73984e+04,1.26029e+01,15.087091,3.79546e+03,1.67256e+01,16.403227,2.11071e+04,5.90707e+01,13.950850,2.452377,,,0,3590.00,0.6902,0.3870,,
0.008796,53.76958,25.84675,53.76958,25.84675,53.7695834391075,25.8467495506514,0.008,0.005,90,69461784523819904,53.76968548573,0.2562,25.84655867484,0.1763,7.8271,0.2777,21.330,0.493,-44.332,0.346,0,9.83176e+02,3.07660e+00,18.206787,,,,,,,,,,0,,,,,
0.153639,53.78918,24.238947,53.78918,24.238947,53.7891724466956,24.2389049149314,0.001,0.001,90,68046133239891584,53.78927583541,0.0431,24.23870534002,0.0318,7.4467,0.0477,21.896,0.084,-46.353,0.069,0,3.35615e+04,2.48743e+01,14.373762,8.84392e+03,3.04173e+01,15.484777,3.74247e+04,8.22436e+01,13.329025,2.155751,,,0,3760.00,0.2442,0.1085,0.51,0.047
0.269507,53.79344,24.53193,53.79344,24.53193,53.7934461577297,24.5318561666676,0.003,0.002,90,68475904847290240,53.79354490670,0.1155,24.53166959171,0.0714,7.1547,0.1236,20.865,0.211,-43.334,0.148,0,3.96835e+03,4.72014e+00,16.691841,5.85806e+02,1.61666e+01,18.432003,5.47480e+03,2.35602e+01,15.415999,3.016004,,,0,4189.18,0.6850,0.4340,,
0.197881,53.817753,23.799503,53.817753,23.799503,53.8177723280351,23.7994513326359,0.005,0.003,90,68014964661425280,53.81787349507,0.1370,23.79925086361,0.0876,7.4131,0.1436,21.499,0.310,-46.561,0.190,0,2.04521e+03,3.44456e+00,17.411520,2.54078e+02,7.33038e+00,19.338972,2.96150e+03,1.19806e+01,16.083140,3.255833,,,0,,,,,
0.064559,53.828117,23.4392,53.828117,23.4392,53.8281302824866,23.4391859844644,0.009,0.008,90,67793309988387456,53.82823305695,0.2974,23.43899252746,0.1724,7.3867,0.3048,21.900,0.612,-44.932,0.533,0,8.26825e+02,1.70859e+00,18.394830,1.02476e+02,6.47055e+00,20.324831,1.28026e+03,9.72003e+00,16.993677,3.331154,,,0,,,,,
0.178709,53.88203,22.823627,53.88203,22.823627,53.8820594992147,22.8235856484147,0.001,0.001,90,67618285777617664,53.88215822025,0.0431,22.82338965959,0.0279,7.5750,0.0482,21.134,0.094,-45.520,0.065,0,2.41850e+06,9.18388e+02,9.729503,1.35531e+06,1.40708e+03,10.021291,1.51481e+06,2.00980e+03,9.311025,0.710266,5.72,0.45,6,6094.30,0.0403,0.0218,1.15,1.641
0.060011,53.91581,25.645988,53.91581,25.645988,53.9158191914028,25.6459741953635,0.003,0.002,90,69406641440151936,53.91588861558,0.1059,25.64578425289,0.0710,3.7110,0.1180,14.536,0.223,-44.116,0.151,0,3.22072e+03,3.71523e+00,16.918484,5.54425e+02,6.87114e+00,18.491780,4.20975e+03,9.16890e+00,15.701278,2.790502,,,0,3806.57,,,,
0.137764,53.9344,22.452787,53.9344,22.452787,53.9344399842822,22.4527851199309,0.003,0.002,90,64589062523316736,53.93453773267,0.0746,22.45259725841,0.0514,7.0992,0.0860,20.982,0.166,-43.632,0.119,0,9.57953e+03,6.13515e+00,15.735005,1.79296e+03,9.37224e+00,17.217463,1.22740e+04,1.84248e+01,14.539453,2.678010,,,0,3709.17,0.5035,0.2805,,
0.067139,53.956963,25.080112,53.956963,25.080112,53.9569610525032,25.0800938594232,0.002,0.002,90,68530124514310912,53.95706153276,0.0690,25.07990460053,0.0532,7.2508,0.0765,21.137,0.142,-43.957,0.109,0,1.37031e+04,1.11682e+01,15.346317,2.87571e+03,1.73448e+01,16.704527,1.68825e+04,3.39486e+01,14.193330,2.511197,,,0,3441.00,0.4700,0.2590,,
0.133757,53.959488,25.705828,53.959488,25.705828,53.9595074180793,25.7057949766501,0.002,0.002,90,69409424578948608,53.95961235183,0.0780,25.70559632558,0.0502,7.3982,0.0838,21.960,0.152,-46.138,0.105,0,8.40981e+03,1.24380e+01,15.876400,1.45833e+03,1.85101e+01,17.441751,1.11204e+04,2.66205e+01,14.646615,2.795137,,,0,3774.67,0.6135,0.3580,,
0.178565,53.983532,25.366608,53.983532,25.366608,53.9835242174139,25.3665585593641,0.002,0.002,90,69294319455655808,53.98363136002,0.0656,25.36636293831,0.0504,7.4542,0.0721,22.485,0.128,-45.435,0.103,0,1.60018e+04,1.80869e+01,15.177941,3.36318e+03,2.14742e+01,16.534513,1.96021e+04,6.12287e+01,14.031164,2.503349,,,0,3691.27,0.4580,0.2510,,
0.156403,54.004112,24.266083,54.004112,24.266083,54.0041176479682,24.2660395986459,0.001,0.001,90,68419314358211712,54.00412915952,0.0354,24.26585561968,0.0246,3.6295,0.0387,2.437,0.070,-42.731,0.055,0,6.82602e+05,4.16799e+02,11.102946,3.36853e+05,3.02342e+02,11.532786,4.89725e+05,5.83253e+02,10.537040,0.995747,8.98,0.38,9,5506.50,1.4400,0.7180,1.59,2.091
0.155662,54.02215,25.351067,54.02215,25.351067,54.0221336413108,25.3510253807808,0.003,0.002,90,69294010218010240,54.02223602553,0.0819,25.35082354257,0.0647,7.6831,0.0909,21.490,0.172,-46.879,0.141,0,4.98146e+03,7.27514e+00,16.444975,7.88270e+02,1.15795e+01,18.109701,6.73192e+03,3.83841e+01,15.191573,2.918128,,,0,3885.68,0.3370,0.1905,,
0.039438,54.04482,26.264559,54.04482,26.264559,54.0448224404848,26.2645692711346,0.001,0.001,90,69509445777174400,54.04487189220,0.0360,26.26437270676,0.0223,6.2490,0.0396,10.300,0.075,-45.654,0.050,0,1.79285e+06,6.32693e+02,10.054506,9.81325e+05,1.30761e+03,10.371856,1.15507e+06,1.48628e+03,9.605400,0.766456,-18.15,6.68,7,5833.91,0.2860,0.1360,1.32,1.807
0.224855,54.046085,23.806517,54.046085,23.806517,54.0461033583994,23.8064563979044,0.005,0.003,90,67832346947351424,54.04620274428,0.1484,23.80626433092,0.0991,7.2931,0.1668,21.119,0.292,-44.609,0.218,0,2.33039e+03,4.65917e+00,17.269793,3.16295e+02,1.45799e+01,19.101156,3.33187e+03,1.17382e+01,15.955201,3.145955,,,0,,,,,
